                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.85092,                 1.6673,                 1.2303,                0.60903,                0.53794,                0.56918,                0.45282,                0.72117,                  1.013,                 1.0686,               0.070005,              0.0033328,              0.0033328
                      1,                 0.8137,                  1.096,                 1.1836,                0.72127,                0.58275,                0.64456,                0.53222,                  0.645,                0.82347,                 1.0091,               0.039345,              0.0060062,              0.0060062
                      2,                0.84318,                 1.0821,                 1.2056,                0.74625,                 0.5853,                0.65324,                0.53925,                0.65052,                0.80206,                  1.016,              0.0080246,              0.0080196,              0.0080196
                      3,                0.81742,                 1.0152,                  1.185,                0.68902,                0.61174,                0.66953,                0.55751,                0.63814,                0.77816,                 1.0062,                0.00703,                0.00703,                0.00703
                      4,                0.77435,                0.93183,                 1.1526,                0.71207,                 0.6228,                0.68126,                0.56937,                0.63264,                0.76415,                 1.0012,                0.00703,                0.00703,                0.00703
                      5,                0.73899,                0.86434,                 1.1271,                0.70202,                0.62918,                0.69187,                0.58038,                0.62584,                0.74662,                0.99468,                0.00604,                0.00604,                0.00604
                      6,                0.71223,                0.81181,                 1.1074,                0.67598,                0.65338,                0.70732,                0.59604,                0.61462,                 0.7173,                 0.9845,                0.00505,                0.00505,                0.00505
                      7,                0.68849,                0.77266,                 1.0907,                0.67575,                0.67076,                0.72389,                0.61392,                0.60084,                0.68556,                0.97259,                0.00406,                0.00406,                0.00406
                      8,                0.66751,                0.72989,                 1.0765,                 0.6941,                  0.691,                 0.7389,                0.63012,                0.58834,                0.65782,                0.96228,                0.00307,                0.00307,                0.00307
                      9,                0.64545,                0.68885,                 1.0609,                0.71069,                0.69898,                0.75006,                0.64237,                0.57849,                0.63589,                0.95388,                0.00208,                0.00208,                0.00208
